Ship-to ID,Visit_Count,Purchase_Count
29000310,68,91
29000419,54,100
29000430,94,57
29000430,36,62
29000430,39,36
29000485,25,4
29000485,24,64
29000485,50,48
29000485,70,27
29000699,72,50
29000699,4,54
29000723,53,88
29000761,68,91
29000761,10,52
29000795,70,59
29000870,94,75
29000870,29,2
29000870,54,2
29000870,36,12
29000870,36,79
29000870,85,39
29000870,13,60
29000870,18,9
29000870,10,60
29000870,5,63
29000870,61,8
29000870,39,10
29000872,51,10
29000872,80,63
29000876,65,74
29000880,55,67
29000942,4,24
29000943,35,66
29000943,69,64
29000944,1,50
29000953,57,7
29000987,5,74
29001142,82,15
29001142,65,48
29001142,83,50
29001234,3,33
29001234,38,46
29001234,63,20
29001234,32,1
29001234,17,9
29001234,38,46
29001234,51,0
29001235,47,94
29001235,69,98
29001235,88,82
29001235,9,53
29001235,65,64
29001235,30,90
29001235,11,40
29001235,32,50
29001235,54,79
29001237,68,27
29001237,66,94
29001237,53,68
29001237,72,82
29001237,32,56
29001237,72,31
29001328,1,40
29001373,78,0
29001373,82,78
29001446,53,97
29001472,83,96
29001472,69,14
29001472,35,20
29001472,56,26
29001472,79,56
29001472,27,34
29001472,69,49
29001472,28,89
29001472,26,51
29001486,17,16
29001486,35,93
29001486,94,95
29001488,5,67
29001488,80,3
29001488,15,7
29001503,16,52
29001527,84,1
29001527,46,24
29001527,48,13
29001527,48,80
29001527,19,61
29001527,49,30
29001527,83,69
29001527,71,56
29001622,42,48
29001622,94,18
29001622,84,79
29001622,57,2
29001665,49,23
29001665,23,69
29001752,25,55
29001778,32,24
29001794,18,64
29001794,25,10
29001796,69,96
29001796,56,30
29001796,71,41
29001796,53,15
29001799,17,100
29001799,61,34
29001799,5,79
29001799,58,63
29001799,89,59
29001867,52,2
29001867,92,37
29001918,94,18
29001919,44,88
29001956,43,48
29002016,67,5
29002016,94,41
29002081,82,3
29002081,33,2
29002081,35,98
29002081,56,81
29002081,4,71
29002081,8,73
29002081,15,25
29002081,76,7
29002081,84,26
29002081,24,47
29002081,82,97
29002258,80,81
29002258,77,61
29002258,74,48
29002258,1,49
29002258,12,3
29002258,73,40
29002261,35,73
29002261,73,84
29002261,54,57
29002261,23,13
29002261,100,66
29002261,69,92
29002261,63,34
29002261,30,70
29002261,41,72
29002273,64,89
29002352,84,80
29002352,38,73
29002352,9,13
29002352,52,99
29002352,42,10
29002352,95,47
29002411,10,53
29002411,16,16
29002418,96,83
29002418,24,68
29002480,15,78
29002480,63,40
29002562,44,23
29002590,28,29
29002614,92,70
29002614,28,63
29002614,7,91
29002614,41,54
29002614,74,57
29002614,58,32
29002614,68,34
29002622,58,64
29002622,85,65
29002622,57,21
29002622,8,61
29002622,98,77
29002667,7,61
29002667,4,74
29002667,20,42
29002738,31,4
29002738,93,40
29002738,36,80
29002738,30,96
29002738,91,77
29002738,23,30
29002738,88,57
29002741,59,75
29002741,20,33
29002741,6,38
29002741,58,78
29002741,53,94
29002769,37,51
29002769,20,34
29002769,93,62
29002769,27,61
29002770,11,62
29002770,86,75
29002770,42,59
29002770,28,25
29002772,74,34
29002800,77,50
29002800,49,52
29002800,62,61
29002800,7,69
29002800,40,95
29002869,100,33
29002869,49,100
29002869,76,95
29002869,99,76
29002884,50,72
29002890,87,21
29002905,34,61
29002905,47,43
29002905,62,89
29002943,88,98
29002943,34,52
29002943,5,4
29002968,78,33
29002968,48,53
29002968,35,81
29002968,10,14
29003079,41,87
29003079,55,36
29003079,100,7
29003079,71,94
29003079,89,12
29003089,63,35
29003115,76,95
29003115,5,15
29003129,8,54
29003129,6,90
29003161,28,40
29003161,18,3
29003161,20,54
29003161,72,62
29003211,86,44
29003235,29,3
29003235,64,73
29003235,63,35
29003235,31,96
29003235,14,40
29003346,59,51
29003346,61,33
29003346,44,55
29003393,62,33
29003393,19,71
29003393,99,2
29003393,47,97
29003393,90,50
29003393,28,25
29003461,28,93
29003537,8,70
29003537,8,86
29003537,44,12
29003537,77,21
29003623,90,87
29003631,12,89
29003631,70,73
29003631,12,78
29003655,49,80
29003655,58,63
29003655,12,23
29003655,97,4
29003655,38,1
29003655,86,3
29003668,57,49
29003668,12,100
29003671,39,100
29003710,7,53
29003734,41,25
29003739,74,54
29003739,24,94
29003739,70,35
29003739,24,84
29003739,79,89
29003739,5,74
29003832,79,53
29003845,45,96
29003845,92,24
29003845,88,32
29003845,33,39
29003845,51,32
29003845,41,4
29003845,89,96
29003845,100,30
29003845,56,1
29003845,45,30
29003845,4,85
29003845,27,66
29003845,67,42
29003845,86,36
29003860,63,69
29003860,56,83
29003860,33,51
29003860,44,60
29003863,22,75
29003863,82,9
29003863,21,11
29003891,91,58
29004158,85,18
29004158,34,41
29004158,76,21
29004158,83,75
29004158,17,67
29004358,20,16
29004358,87,80
29004358,55,97
29004358,33,35
29004358,89,20
29004358,37,93
29004358,54,93
29004358,84,19
29004358,1,68
29004358,69,36
29004358,64,19
29004358,68,54
29004358,81,26
29004358,70,22
29004358,80,61
29004358,57,46
29004358,36,45
29004358,47,100
29004358,76,51
29004358,49,22
29004358,79,6
29004358,31,1
29004358,7,15
29004360,74,45
29004365,29,42
29004365,93,79
29004412,85,40
29004412,58,13
29004412,30,78
29004412,75,72
29004412,35,13
29004412,35,32
29004431,6,42
29004431,20,40
29004431,75,59
29004431,71,4
29004431,87,85
29004431,15,94
29004431,62,78
29004431,80,18
29004431,84,75
29004431,69,26
29004431,71,72
29004431,26,76
29004431,16,90
29004431,98,76
29004431,53,45
29004431,24,14
29004431,84,19
29004431,47,1
29004431,56,8
